100:01;A2r['  ]| <div2>Enter Chorus.
003:03;E1v[M  ]| searching; we$6#2$ scorne to$9$ steale your cups I can tell you.  
003:03;E1v[WM ]| <reg orig="Neuer">Never</reg> out*face me for$4$ the matter, for$3$ sure the cup is 
003:03;E1v[WM ]| <reg orig="betweene">between</reg> you two.  
003:03;E1v[G  ]| Nay there you lie, it is beyond us$6#2$ both.  
003:03;E2r[WM ]| A plague take you, I thought it was your knauery 
003:03;E2r[WM ]| to$9$ take it away:  Come, give it me again.  
003:03;E2r[G  ]| Aye much, when can you tell:  Dick, make me a circle, 
003:03;E2r[G  ]| and stand close at my back, and stir not for$4$ thy life, Vintner 
003:03;E2r[G  ]| you shall have your cup anon, say nothing Dick:  <foreign>7O 7per </foreign>
003:03;E2r[G  ]| <foreign>7se 7o 7demorgorgon</foreign>, Belcher and Mephostophilis.  
003:03;E2r['  ]| Enter Mephostophilis. 
003:03;E2r[F  ]| You Princely Legions of infernall Rule, 
003:03;E2r[F  ]| How am I vexed by$4$ these villaines Charmes?  
003:03;E2r[F  ]| From Constantinople have they brought me now, 
003:03;E2r[F  ]| Onely for$4$ pleasure of these damned slaues.  
003:03;E2r[G  ]| By$4$ Lady sir, you have had a shroud iourney of it, 
003:03;E2r[G  ]| will$1$ it please you to$9$ take a shoulder of Mutton to$4$ supper, and 
003:03;E2r[G  ]| a Tester in$4$ your purse, and go back again.  
003:03;E2r[M  ]| Aye, I pray you heartily sir; for$3$ we$6#2$ cal'd you but in$4$ 
003:03;E2r[M  ]| ieast I promise you.  
003:03;E2r[F  ]| To$9$ purge the rashnesse of this cursed deed, 
003:03;E2r[F  ]| First, be thou turned to$4$ this vgly shape, 
003:03;E2r[F  ]| For$4$ Apish deeds transformed to$4$ an Ape.  
003:03;E2r[G  ]| O braue, an Ape?  I pray sir, let me have the carrying 
003:03;E2r[G  ]| of him about to$9$ shew some trickes.  
003:03;E2r[F  ]| And so$5#2$ thou shalt:  be thou transform'd to$4$ a dog, and 
003:03;E2r[F  ]| carry him upon$4$ thy back; away be gone.  
003:03;E2r[G  ]| A dog?  that$6#2$ is excellent:  let the Maids look well to$4$ 
003:03;E2r[G  ]| their porridge-pots, for$3$ I will$1$ into the Kitchin presently:  come 
003:03;E2r[G  ]| Dick, come.  
003:03;E2r['  ]| Exeunt the two Clownes. 
003:03;E2r[F  ]| Now with the flames of euer-burning fire, 
003:03;E2r[F  ]| I will$1$ wing myself and forth-with flie amaine 
003:03;E2r[F  ]| Unto my Faustus to$4$ the great Turkes Court.  
003:03;E2r['  ]| Exit. 
004:01;E2r['  ]| Enter Martino, and Frederick at seuerall dores. 
004:01;E2r[P  ]| What ho, Officers, Gentlemen, 
004:01;E2r[P  ]| Hye to$4$ the presence to$9$ attend the Emperour, 
004:01;E2r[P  ]| Good Fredericke see the roomes be voyded straight, 
004:01;E2v[P  ]| His Maiesty is comming to$4$ the Hall; 
004:01;E2v[P  ]| Go back, and see the State in$4$ readinesse.  
004:01;E2v[Q  ]| But where is Bruno our$6#2$ elected Pope, 
004:01;E2v[Q  ]| That$6#1$ on$4$ a furies back came post from Rome, 
004:01;E2v[Q  ]| Will$1$ not his grace consort the Emperour.  
004:01;E2v[P  ]| O yes, and with him comes the Germane Coniurer.  
004:01;E2v[P  ]| The learned Faustus, same of Wittenberge, 
004:01;E2v[P  ]| The wonder of the world for$4$ Magick Art&H0;; 
004:01;E2v[P  ]| And he intends to$9$ shew great Carolus, 
004:01;E2v[P  ]| The race of all his stout progenitors; 
004:01;E2v[P  ]| And bring in$4$ presence of his Maiesty, 
004:01;E2v[P  ]| The royall shapes and warlike semblances 
004:01;E2v[P  ]| Of Alexander and his beauteous Paramour.  
004:01;E2v[Q  ]| Where is Benuolio?  
004:01;E2v[P  ]| Fast a*sleepe I warrant you, 
004:01;E2v[P  ]| He took his rouse with stopes of Rhennish wine, 
004:01;E2v[P  ]| So$5#1$ kindly yesternight to$4$ Bruno's health, 
004:01;E2v[P  ]| That$3$ all this day the sluggard keepes his bed.  
004:01;E2v[Q  ]| See, see his window is ope, we$6#2$ will$1$ call to$4$ him.  
004:01;E2v[P  ]| What hoe, Benuolio.  
004:01;E2v['  ]| Enter Benuolio above at a window, in$4$ his 
004:01;E2v['  ]| nightcap:  buttoning. 
004:01;E2v[R  ]| What a deuill ayle you two?  
004:01;E2v[P  ]| Speak softly sir, least the deuil hear you:  
004:01;E2v[P  ]| For$3$ Faustus at the Court is late arriu'd, 
004:01;E2v[P  ]| And at his heeles a thousand furies waite, 
004:01;E2v[P  ]| To$9$ accomplish <reg orig="what soeuer">whatsoever</reg>- the Doctor please.  
004:01;E2v[R  ]| What of this?  
004:01;E2v[P  ]| Come leaue thy chamber first, and thou shalt see 
004:01;E2v[P  ]| This Coniurer performe such rare exploits, 
004:01;E2v[P  ]| Before the Pope and royall Emperour, 
004:01;E2v[P  ]| As <reg orig="neuer">never</reg> yet was seene in$4$ Germany.  
004:01;E2v[R  ]| Has not the Pope enough of coniuring yet?  
004:01;E2v[R  ]| He was upon$4$ the deuils back late enough; 
004:01;E2v[R  ]| And if he be so$5#1$ farre in$4$ love with him, 
004:01;E3r[R  ]| I would he would post with him to$4$ Rome again.  
004:01;E3r[Q  ]| Speak, wilt thou come and see this sport?  
004:01;E3r[R  ]| Not I.  
004:01;E3r[P  ]| Wilt thou stand in$4$ thy Window, and see it then?  
004:01;E3r[R  ]| Aye, if I fall not asleepe in$4$ the meane time.  
004:01;E3r[P  ]| The Emperour is at hand, who$6#1$ comes to$9$ see 
004:01;E3r[P  ]| What wonders by$4$ blacke spels may compast be.  
004:01;E3r[R  ]| Well, go you attend the Emperour:  I am content 
004:01;E3r[R  ]| for$4$ this once to$9$ thrust my head out at a window:  for$3$ they say, 
004:01;E3r[R  ]| if a man be drunke ouer*night, the Diuell cannot hurt him in$4$ 
004:01;E3r[R  ]| the morning:  if that$6#2$ be true, I have a charme in$4$ my head,  
004:01;E3r[R  ]| shall controule him as well as the Coniurer, I warrant you.  
004:01;E3r['  ]| Exit. 
004:02;E3r['  ]| A Senit.  Charles the Germane Emperour, Bruno, 
004:02;E3r['  ]| Saxony, Faustus, Mephostophilis, Fredericke 
004:02;E3r['  ]| Martino, and Attendants. 
004:02;E3r[WO ]| Wonder of men, renown'd Magitian, 
004:02;E3r[WO ]| Thrice*learned Faustus, welcome to$4$ our$6#1$ Court.  
004:02;E3r[WO ]| This deed of thine, in$4$ setting Bruno free 
004:02;E3r[WO ]| From his and our$6#1$ professed enemy, 
004:02;E3r[WO ]| Shall adde more excellence unto thine Art&H0;, 
004:02;E3r[WO ]| Than if by$4$ powerfull Necromantick spels, 
004:02;E3r[WO ]| Thou couldst command the worlds obedience:  
004:02;E3r[WO ]| <reg orig="For euer">Forever</reg> be belou'd of Carolus.  
004:02;E3r[WO ]| And if this Bruno thou hast late redeem'd, 
004:02;E3r[WO ]| In$4$ peace possesse the triple Diadem, 
004:02;E3r[WO ]| And sit in$4$ Peters Chaire, despite of chance, 
004:02;E3r[WO ]| Thou shalt be famous through all Italy, 
004:02;E3r[WO ]| And honour'd of the Germane Emperour.  
004:02;E3r[A  ]| These gracious words, most royall Carolus, 
004:02;E3r[A  ]| Shall make poore Faustus to$4$ his vtmost power, 
004:02;E3r[A  ]| Both love and serue the Germane Emperour, 
004:02;E3r[A  ]| And lay his life at holy Bruno's feet.  
004:02;E3r[A  ]| For$4$ proofe whereof, if so$5#2$ your Grace be pleas'd, 
004:02;E3v[A  ]| The Doctor stands prepar'd, by$4$ power of Art&H0;, 
004:02;E3v[A  ]| To$9$ cast his Magicke charmes, that$6#1$ shall pierce through 
004:02;E3v[A  ]| The Ebon gates of euer-burning hell, 
004:02;E3v[A  ]| And hale the stubborne Furies from their caues, 
004:02;E3v[A  ]| To$9$ compasse <reg orig="whatsoere">whatsoever</reg> your grace commands.  
004:02;E3v[R  ]| Bloud he speakes terribly:  but for$4$ all that$6#2$, I do not 
004:02;E3v[R  ]| greatly beleeue him, he lookes as like$4$ Coniurer as the Pope to$4$ 
004:02;E3v[R  ]| a Coster-monger.  
004:02;E3v[WO ]| Then Faustus as thou late didst promise us$6#1$, 
004:02;E3v[WO ]| We$6#1$ would behold that$6#2$ famous Conquerour, 
004:02;E3v[WO ]| Great Alexander, and his Paramour, 
004:02;E3v[WO ]| In$4$ their true shapes, and state Maiesticall, 
004:02;E3v[WO ]| That$3$ we$6#1$ may wonder at their excellence.  
004:02;E3v[A  ]| Your Maiesty shall see them presently, 
004:02;E3v[A  ]| Mephosto away.  
004:02;E3v[A  ]| And with a solemne noyse of trumpets sound, 
004:02;E3v[A  ]| Present before this royall Emperour, 
004:02;E3v[A  ]| Great Alexander and his beauteous Paramour.  
004:02;E3v[F  ]| Faustus I will$1$.  
004:02;E3v[R  ]| Well M% Doctor, if your Diuels come not away 
004:02;E3v[R  ]| quickly, you shall have me asleepe presently:  zounds I could 
004:02;E3v[R  ]| eate myself for$4$ anger, to$9$ think I have been such an Asse 
004:02;E3v[R  ]| all this while, to$9$ stand gaping after the diuels Gouernor, and 
004:02;E3v[R  ]| can see nothing.  
004:02;E3v[A  ]| I will$1$ make you feele something anon, if my Art&H0; faile 
004:02;E3v[A  ]| me not.  
004:02;E3v[A  ]| My Lord, I must forewarne your Maiesty, 
004:02;E3v[A  ]| That$3$ when my Spirits present the royall shapes 
004:02;E3v[A  ]| Of Alexander and his Paramour, 
004:02;E3v[A  ]| Your grace demand no$2$ questions of the King, 
004:02;E3v[A  ]| But in$4$ dumbe silence let them come and go.  
004:02;E3v[WO ]| Be it as Faustus please, we$6#1$ are content.  
004:02;E3v[R  ]| Aye, aye, and I am content too:  and thou bring Alexander 
004:02;E3v[R  ]| and his Paramour before the Emperour, I will$1$ be Acteon, 
004:02;E3v[R  ]| and turne myself to$4$ a Stagge.  
004:02;E3v[A  ]| And I will$1$ play Diana, and send you the hornes presently.  
004:02;E3v[A  ]| 
004:02;E4r['  ]| Senit.  Enter at one the Emperour Alexander, at the other 
004:02;E4r['  ]| Darius; they meete, Darius is throwne down, Alexander 
004:02;E4r['  ]| kills him; takes off his Crowne, and offering to$9$ go 
004:02;E4r['  ]| out, his Paramour meetes him, he embraceth her$6$, and 
004:02;E4r['  ]| sets Darius Crowne upon$4$ her$2$ head; and commig 
004:02;E4r['  ]| back, both salute the Emperour, 
004:02;E4r['  ]| who$6#1$ leauing his State, offers to$9$ embrace 
004:02;E4r['  ]| them, which$6#1$ Faustus seeing, 
004:02;E4r['  ]| suddenly staies him.  Then trumpets 
004:02;E4r['  ]| cease, and Musicke 
004:02;E4r['  ]| sounds. 
004:02;E4r[A  ]| My gracious Lord, you do forget yourself, 
004:02;E4r[A  ]| These are but shadowes, not substantiall.  
004:02;E4r[WO ]| O pardon me, my thoughts are so$5#1$ rauished 
004:02;E4r[WO ]| With sight of this renowned Emperour, 
004:02;E4r[WO ]| That$3$ in$4$ mine armes I would have compast him.  
004:02;E4r[WO ]| But Faustus, since I may not speak to$4$ them, 
004:02;E4r[WO ]| To$9$ satisfie my longing thoughts at full, 
004:02;E4r[WO ]| Let me this tell thee:  I have heard it said, 
004:02;E4r[WO ]| That$3$ this fair Lady, whilest she liu'd on$4$ earth, 
004:02;E4r[WO ]| Had on$4$ her$2$ necke a little wart, or mole; 
004:02;E4r[WO ]| How may I proue that$6#2$ saying to$9$ be true?  
004:02;E4r[A  ]| Your Maiesty may boldly go and see.  
004:02;E4r[WO ]| Faustus I see it plaine, 
004:02;E4r[WO ]| And in$4$ this sight thou better pleasest me, 
004:02;E4r[WO ]| Than if I gain'd another Monarchie.  
004:02;E4r[A  ]| Away, be gone.  
004:02;E4r['  ]| Exit Show. 
004:02;E4r[A  ]| See, see, my gracious Lord, what strange beast is yon, that$6#1$ 
004:02;E4r[A  ]| thrusts his head out at window.  
004:02;E4r[WO ]| O wondrous sight:  see Duke of Saxony, 
004:02;E4r[WO ]| Two spreading hornes most strangely fastened 
004:02;E4r[WO ]| Upon$4$ the head of yong Benvolio.  
004:02;E4r[WO ]| What is he asleepe, or dead?  
004:02;E4r[A  ]| He sleeps my Lord, but dreames not of his hornes.  
004:02;E4r[WO ]| This sport is excellent:  we$6#1$ will$1$ call and wake him.  
004:02;E4r[WO ]| What ho, Benvolio.  
004:02;E4v[R  ]| A plague upon$4$ you, let me sleepe a while.  
004:02;E4v[WO ]| I blame thee not to$9$ sleepe  much, having such a head 
004:02;E4v[WO ]| of thine <reg orig="owne">own</reg>.  
004:02;E4v[WO ]| Look up$5$ Benvolio, it is the Emperour calls.  
004:02;E4v[R  ]| The Emperour?  where?  O zounds my head.  
004:02;E4v[WO ]| Nay, if thy hornes hold, it is no$2$ matter for$4$ thy 
004:02;E4v[WO ]| head, for$3$ that$6#2$ is arm'd sufficiently.  
004:02;E4v[A  ]| Why how now sir Knight, what hang'd by$4$ the 
004:02;E4v[A  ]| hornes?  this most horrible:  fie, fie, pull in$4$ your head for$4$ shame, 
004:02;E4v[A  ]| let not all the world wonder at you.  
004:02;E4v[R  ]| Zounds Doctor, is this your villany?  
004:02;E4v[A  ]| O say not so$5#2$ sir:  the Doctor has no$2$ skill, 
004:02;E4v[A  ]| No$2$ Art&H0;, no$2$ cunning, to$9$ present these Lords, 
004:02;E4v[A  ]| Or bring before this royall Emperour 
004:02;E4v[A  ]| The mightie Monarch, warlicke Alexander.  
004:02;E4v[A  ]| If Faustus do it, you are streight resolu'd, 
004:02;E4v[A  ]| In$4$ bold Acteons shape to$9$ turne a Stagge.  
004:02;E4v[A  ]| And therefore my Lord, so$3$ please your Maiesty, 
004:02;E4v[A  ]| I will$1$ raise a kennelll of Hounds shall hunt him so$5#1$, 
004:02;E4v[A  ]| As all his footmanship shall scarce preuaile, 
004:02;E4v[A  ]| To$9$ keepe his Carkasse from their bloudy phangs.  
004:02;E4v[A  ]| Ho, Belimote, Argiron, Asterote.  
004:02;E4v[R  ]| Hold, hold:  zounds he will$1$ raise up$5$ a kennell of Diuels 
004:02;E4v[R  ]| I think anon:  good my Lord intreate for$4$ me:  'sbloud I am 
004:02;E4v[R  ]| <reg orig="neuer">never</reg> able to$9$ endure these torments.  
004:02;E4v[WO ]| Then good M% Doctor, 
004:02;E4v[WO ]| Let me intreate you to$9$ remoue his hornes, 
004:02;E4v[WO ]| He has done penance now sufficiently.  
004:02;E4v[A  ]| My gracious Lord, not so$5#1$ much for$4$ iniury done to$4$ 
004:02;E4v[A  ]| me, as to$9$ delight your Maiesty with some mirth:  hath Faustus  
004:02;E4v[A  ]| iustly requited this iniurious knight, which$6#1$ being all I desire, 
004:02;E4v[A  ]| I am content to$9$ remoue his hornes.  Mephastophilis,  
004:02;E4v[A  ]| transforme him; and hereafter sir, look you speak well of 
004:02;E4v[A  ]| Schollers.  
004:02;E4v[R  ]| Speak well of ye?  'sbloud if Schollers be such 
004:02;E4v[R  ]| Cuckold-makers to$9$ clap hornes of honest mens heades of this 
004:02;E4v[R  ]| order, I will$1$ <reg orig="nere">never</reg> trust smooth faces, and small ruffes more.  But 
004:02;F1r[R  ]| if I be not reueng'd for$4$ this, would I might be turn'd to$4$ a 
004:02;F1r[R  ]| gaping Oyster, and drinke nothing but salt water.  
004:02;F1r[WO ]| Come Faustus while the Emperour liues, 
004:02;F1r[WO ]| In$4$ recompence of this thy high desert, 
004:02;F1r[WO ]| Thou shalt command the state of Germany, 
004:02;F1r[WO ]| And live belou'd of mightie Carolus.  
004:02;F1r['  ]| Exeunt omnes. 
004:03;F1r['  ]| Enter Benvolio, Martino, Fredericke, and 
004:03;F1r['  ]| Souldiers. 
004:03;F1r[P  ]| Nay sweet Benvolio, let us$6#2$ sway thy thoughts 
004:03;F1r[P  ]| From this attempt against the Coniurer.  
004:03;F1r[R  ]| Away, you love me not, to$9$ vrge me thus, 
004:03;F1r[R  ]| Shall I let slip so$5#1$ great an iniury, 
004:03;F1r[R  ]| When <reg orig="euery">every</reg> seruile groome ieasts at my wrongs, 
004:03;F1r[R  ]| And in$4$ their rusticke gambals proudly say, 
004:03;F1r[R  ]| Benvolio's head was grac't with hornes today?  
004:03;F1r[R  ]| O may these eye-lids <reg orig="neuer">never</reg> close again, 
004:03;F1r[R  ]| Till with my sword I have that$6#2$ Coniurer slaine.  
004:03;F1r[R  ]| If you will$1$ aide me in$4$ this enterprise, 
004:03;F1r[R  ]| Then draw your weapons, and be resolute:  
004:03;F1r[R  ]| If not, depart:  here will$1$ Benvolio die, 
004:03;F1r[R  ]| But Faustus death shall quit my infamie.  
004:03;F1r[Q  ]| Nay, we$6#2$ will$1$ stay with thee, betide what may, 
004:03;F1r[Q  ]| And kill that$6#2$ Doctor if he come this way.  
004:03;F1r[R  ]| Then gentle Fredericke hie thee to$4$ the groue, 
004:03;F1r[R  ]| And place our$6#1$ seruants, and our$6#1$ followers 
004:03;F1r[R  ]| close in$4$ an ambush there behinde the trees, 
004:03;F1r[R  ]| By$4$ this (I know) the Coniurer is neere, 
004:03;F1r[R  ]| I saw him kneele, and kisse the Emperours hand, 
004:03;F1r[R  ]| And take his leaue, laden with rich rewards.  
004:03;F1r[R  ]| Then Souldiers boldly fight; if Faustus die, 
004:03;F1r[R  ]| Take you the wealth, leaue us$6#2$ the victorie.  
004:03;F1r[Q  ]| Come souldiers, follow me unto the groue, 
004:03;F1r[Q  ]| Who$6#1$ kils him shall have gold, and endlesse love.  
004:03;F1r['  ]| Exit Frederick with the Souldiers. 
004:03;F1r[R  ]| My head is lighter than it was by$4$ the hornes, 
004:03;F1v[R  ]| But yet my heart more ponderous than my head, 
004:03;F1v[R  ]| And pants vntill I see that$6#2$ Coniurer dead.  
004:03;F1v[P  ]| Where shall we$6#2$ place ourselves Benvolio?  
004:03;F1v[R  ]| Here will$1$ we$6#2$ stay to$9$ bide the first assault, 
004:03;F1v[R  ]| O were that$6#2$ damned Hell-hound but in$4$ place, 
004:03;F1v[R  ]| Thou soon shouldst see me quit my foule disgrace.  
004:03;F1v['  ]| Enter Fredericke. 
004:03;F1v[Q  ]| Close, close, the Coniurer is at hand, 
004:03;F1v[Q  ]| And all alone, comes walking in$4$ his gowne; 
004:03;F1v[Q  ]| Be ready then, and strike the Peasant down.  
004:03;F1v[R  ]| Mine be that$6#2$ honour then:  now sword strike home, 
004:03;F1v[R  ]| For$4$ hornes he gaue, I will$1$ have his head anone.  
004:03;F1v['  ]| Enter Faustus with the false head. 
004:03;F1v[P  ]| See, see, he comes.  
004:03;F1v[R  ]| No$2$ words:  this blow ends all, 
004:03;F1v[R  ]| Hell take his soule, his body thus must fall.  
004:03;F1v[A  ]| O.  
004:03;F1v[Q  ]| Grone you Master Doctor?  
004:03;F1v[R  ]| Breake may his heart with grones:  deere Frederick see 
004:03;F1v[R  ]| Thus will$1$ I end his griefes immediately.  
004:03;F1v[P  ]| Strike with a willing hand, his head is off.  
004:03;F1v[R  ]| The Diuel is dead, the Furies now may laugh.  
004:03;F1v[Q  ]| Was this that$6#2$ sterne aspect, that$6#2$ awfull frowne, 
004:03;F1v[Q  ]| Made the grim monarch of infernall spirits, 
004:03;F1v[Q  ]| Tremble and quake at his commanding charmes?  
004:03;F1v[P  ]| Was this that$6#2$ damned head, whose heart conspir'd 
004:03;F1v[P  ]| Benvolio's shame before the Emperour.  
004:03;F1v[R  ]| Aye, that$6#2$ is the head, and here the body lies, 
004:03;F1v[R  ]| Iustly rewarded for$4$ his villanies.  
004:03;F1v[Q  ]| Come, let us$6#2$ deuise how we$6#2$ may adde more shame 
004:03;F1v[Q  ]| To$4$ the blacke scandall of his hated name.  
004:03;F1v[R  ]| First, on$4$ his head, in$4$ quittance of my wrongs, 
004:03;F1v[R  ]| I will$1$ naile huge forked hornes, and let them hang 
004:03;F1v[R  ]| Within$4$ the window where he yoak'd me first, 
004:03;F1v[R  ]| That$3$ all the world may see my iust reuenge.  
004:03;F1v[P  ]| What vse shall we$6#2$ put his beard to$5$?  
004:03;F2r[R  ]| We$6#2$ will$1$ sell it to$4$ a Chimny-sweeper:  it will$1$ weare out 
004:03;F2r[R  ]| ten birchin broomes I warrant you.  
004:03;F2r[Q  ]| What shall eyes do?  
004:03;F2r[R  ]| We$6#2$ will$1$ put out his eyes, and they shall serue for$4$ buttons 
004:03;F2r[R  ]| to$4$ his lips, to$9$ keepe his tongue from catching cold.  
004:03;F2r[P  ]| An excellent policie:  and now sirs, having diuided 
004:03;F2r[P  ]| him, what shall the body do?  
004:03;F2r[R  ]| Zounds the Diuel is aliue <reg orig="agen">again</reg>.  
004:03;F2r[Q  ]| Give him his head for$4$ Gods sake.  
004:03;F2r[A  ]| Nay keepe it:  Faustus will$1$ have heads and hands, 
004:03;F2r[A  ]| I call your hearts to$9$ recompence this deed.  
004:03;F2r[A  ]| Knew you not Traytors, I was limitted 
004:03;F2r[A  ]| For$4$ foure*and*twenty yeares, to$9$ breathe on$4$ earth?  
004:03;F2r[A  ]| And had you cut my body with your swords, 
004:03;F2r[A  ]| Or hew'd this flesh and bones as small as sand, 
004:03;F2r[A  ]| Yet in$4$ a minute had my spirit return'd, 
004:03;F2r[A  ]| And I had breath'd a man made free from harme.  
004:03;F2r[A  ]| But wherefore do I dally my reuenge?  
004:03;F2r[A  ]| Asteroth, Belimoth, Mephostophilis, 
004:03;F2r['  ]| Ent% Meph% and other Diuels. 
004:03;F2r[A  ]| Go horse these traytors on$4$ your fiery backes, 
004:03;F2r[A  ]| And mount aloft with them as high as heauen, 
004:03;F2r[A  ]| Thence pitch them headlong to$4$ the lowest hell:  
004:03;F2r[A  ]| Yet stay, the world shall see their miserie, 
004:03;F2r[A  ]| And hell shall after plague their treacherie.  
004:03;F2r[A  ]| Go Belimothe, and take this caitife hence, 
004:03;F2r[A  ]| And hurle him in$4$ some lake of mud and durt:  
004:03;F2r[A  ]| Take thou this other, dragge him through the woods, 
004:03;F2r[A  ]| Amongst the pricking thornes, and sharpest briers, 
004:03;F2r[A  ]| Whilst with my gentle Mephostophilis, 
004:03;F2r[A  ]| This Traytor flies unto some steepie rocke, 
004:03;F2r[A  ]| That$3$ rowling down, may breake the villaines bones, 
004:03;F2r[A  ]| As he intended to$9$ dismember me.  
004:03;F2r[A  ]| Fly hence, dispatch my charge immediatly.  
004:03;F2r[Q  ]| Pitie us$6#2$ gentle Faustus, saue our$6#2$ liues, 
004:03;F2r[A  ]| Away.  
004:03;F2r[Q  ]| He must needs go that$6#1$ the Diuell driues.  
004:03;F2r['  ]| Exeunt Spirits with the knights. 
004:03;F2v['  ]| Enter the ambusht Souldiers. 
004:03;F2v[WJ ]| Come sirs, prepare yourselves in$4$ readinesse, 
004:03;F2v[WJ ]| Make hast to$9$ help these noble Gentlemen, 
004:03;F2v[WJ ]| I heard them parly with the Coniurer.  
004:03;F2v[WN ]| See where he comes, dispatch, and kill the slaue.  
004:03;F2v[A  ]| What is here?  an ambush to$9$ betray my life:  
004:03;F2v[A  ]| Then Faustus try thy skill:  base pesants stand, 
004:03;F2v[A  ]| For$3$ loe these Trees remoue at my command, 
004:03;F2v[A  ]| And stand as Bulwarkes twixt yourselves and me, 
004:03;F2v[A  ]| To$9$ sheild me from your hated treachery:  
004:03;F2v[A  ]| Yet to$9$ encounter this your weake attempt, 
004:03;F2v[A  ]| Behold an Army comes incontinent.  
004:03;F2v['  ]| Faustus strikes the dore, and enter a deuill playing on$4$ a Drum, 
004:03;F2v['  ]| after him another bearing an Ensigne:  and diuers with 
004:03;F2v['  ]| weapons, Mephostophilis with fire-works; they set upon$5$ 
004:03;F2v['  ]| the Souldiers and driue them out. 
004:04;F2v['  ]| Enter at seuerall dores, Benuolio, Fredericke, and Martino, 
004:04;F2v['  ]| their heads and faces bloudy, and besmear'd with 
004:04;F2v['  ]| mud and durt; all having hornes on$4$ 
004:04;F2v['  ]| their heads. 
004:04;F2v[P  ]| What ho, Benuolio.  
004:04;F2v[R  ]| Here, what Frederick, ho.  
004:04;F2v[Q  ]| O help me gentle friend; where is Martino?  
004:04;F2v[P  ]| Deere Frederick here, 
004:04;F2v[P  ]| Halfe smother'd in$4$ a Lake of mud and durt, 
004:04;F2v[P  ]| Through which$6#1$ the Furies drag'd me by$4$ the heeles.  
004:04;F2v[Q  ]| Martino see, 
004:04;F2v[Q  ]| Benuolio's hornes again.  
004:04;F2v[P  ]| O misery, how now Benuolio?  
004:04;F2v[R  ]| Defend me heauen, shall I be haunted still?  
004:04;F2v[P  ]| Nay feare not man we$6#2$ have no$2$ power to$9$ kill.  
004:04;F2v[R  ]| My friends transformed thus:  O hellish spite, 
004:04;F3r[R  ]| Your heads are all set with hornes.  
004:04;F3r[Q  ]| You hit it right, 
004:04;F3r[Q  ]| It is your <reg orig="owne">own</reg> you meane feele on$4$ your head.  
004:04;F3r[R  ]| 'Zons, hornes again.  
004:04;F3r[P  ]| Nay chase not man, we$6#2$ all are sped.  
004:04;F3r[R  ]| What deuill attends this damn'd Magician, 
004:04;F3r[R  ]| That$3$ spite of spite, our$6#2$ wrongs are doubled?  
004:04;F3r[Q  ]| What may we$6#2$ do, that$3$ we$6#2$ may hide our$6#2$ shames?  
004:04;F3r[R  ]| If we$6#2$ should follow him to$9$ worke reuenge, 
004:04;F3r[R  ]| He would ioyne long Asses eares to$4$ these huge hornes, 
004:04;F3r[R  ]| And make us$6#2$ laughing stockes to$4$ all the world.  
004:04;F3r[P  ]| What shall we$6#2$ then do deere Benuolio?  
004:04;F3r[R  ]| I have a Castle ioyning neere these woods, 
004:04;F3r[R  ]| And thither we$6#2$ will$1$ repaire and live obscure, 
004:04;F3r[R  ]| Till time shall alter this our$6#2$ brutish shapes:  
004:04;F3r[R  ]| Sith blacke disgrace hath thus eclipst our$6#2$ fame.  
004:04;F3r[R  ]| We$6#2$ will$1$ rather die with griefe, than live with shame.  
004:04;F3r['  ]| Exeunt omnes. 
004:05;F3r['  ]| Enter Faustus, and the Horse-courser, and 
004:05;F3r['  ]| Mephostophilis. 
004:05;F3r[T  ]| I beseech your Worship accept of these forty 
004:05;F3r[T  ]| Dollors.  
004:05;F3r[A  ]| Friend, thou canst not buy so$5#1$ good a horse, for$4$ so$5#1$ 
004:05;F3r[A  ]| small a price:  I have no$2$ great need to$9$ sell him, but if thou 
004:05;F3r[A  ]| likest him for$4$ ten Dollors more, take him, because I see thou 
004:05;F3r[A  ]| hast a good minde to$4$ him.  
004:05;F3r[T  ]| I beseech you sir accept of this; I am a very poore 
004:05;F3r[T  ]| man, and have lost very much of late by$4$ horse flesh, and this 
004:05;F3r[T  ]| bargaine will$1$ set me up$5$ again.  
004:05;F3r[A  ]| Well, I will$1$ not stand with thee, give me the money:  
004:05;F3r[A  ]| now sirra I must tell you, that$3$ you may ride him <reg orig="o're">over</reg> 
004:05;F3r[A  ]| hedge and ditch, and spare him not; but do your hear?  in$4$ any 
004:05;F3r[A  ]| case ride him not into the water.  
004:05;F3r[T  ]| How sir, not into the water?  why will$1$ he not drink 
004:05;F3r[T  ]| of all waters?  
004:05;F3v[A  ]| Yes, he will$1$ drinke of all waters, but ride him not 
004:05;F3v[A  ]| into the water; <reg orig="o're">over</reg> hedge and ditch, or where thou wilt, but 
004:05;F3v[A  ]| not into the water:  Go bid the Hostler deliuer him unto you, 
004:05;F3v[A  ]| and remember what I say.  
004:05;F3v[T  ]| I warrant you sir; O ioyfull day:  Now am I a 
004:05;F3v[T  ]| made man <reg orig="for euer">forever</reg>.  
004:05;F3v['  ]| Exit. 
004:05;F3v[A  ]| What art thou Faustus but a man condemn'd to$9$ die?  
004:05;F3v[A  ]| Thy fatall time drawes to$4$ a finall end; 
004:05;F3v[A  ]| Despaire doth driue distrust into my thoughts.  
004:05;F3v[A  ]| Confound these passions with a quiet sleepe:  
004:05;F3v[A  ]| Tush Christ did call the Theefe upon$4$ the Crosse, 
